deepseek_y1,deepseek_y0
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.0,0.0
0.2,0.3
0.2,0.2
0.0,0.2
0.3,0.3
0.3,0.3
0.2,0.3
0.3,0.2
0.3,0.3
0.0,0.2
0.3,0.3
0.0,0.2
0.3,0.2
0.0,0.2
0.3,0.3
0.3,0.2
0.3,0.0
0.2,0.3
0.2,0.0
0.3,0.2
0.3,0.2
0.3,0.3
0.2,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.2
0.3,0.2
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.3
0.0,0.0
0.3,0.3
0.3,0.3
0.0,0.2
0.3,0.2
0.3,0.2
0.0,0.2
0.0,0.2
0.0,0.3
0.2,0.3
0.3,0.3
0.3,0.3
0.0,0.2
0.3,0.2
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.3
0.3,0.3
0.3,0.3
0.2,0.2
0.0,0.0
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.3
0.3,0.3
0.0,0.2
0.0,0.3
0.3,0.3
0.3,0.3
0.0,0.2
0.3,0.3
0.3,0.3
0.3,0.3
0.0,0.0
0.3,0.3
0.0,0.2
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.3
0.3,0.3
0.3,0.2
0.3,0.2
0.3,0.3
0.0,0.0
0.2,0.2
0.2,0.2
0.3,0.2
0.0,0.2
0.3,0.3
0.0,0.0
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
