trial_idx,trial_name,neighbor_rank,neighbor_idx,neighbor_name,similarity_score
0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,1,5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,0.6689788803847359
0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,2,3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",0.5929679853067791
0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,3,19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",0.5912074971206313
0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,4,21,"Detection and initial management of
gestational diabetes through primary health
care services in Morocco: An effectivenessimplementation trial",0.5900707319345737
0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,5,36,"A Randomized Trial of Rectal Indomethacin
to Prevent Post-ERCP Pancreatitis",0.5807901945527072
1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,1,7,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,0.7366013407358095
1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,2,31,Exploratory data on the clinical efficacy of monoclonal antibodies against SARS-CoV-2 Omicron variant of concern,0.7003485153008452
1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,3,20,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,0.6379124254063405
1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,4,17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,0.6107794550687109
1,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,5,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.6006706259988012
2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",1,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.9264889791994356
2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",2,18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",0.6654871537481615
2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",3,36,"A Randomized Trial of Rectal Indomethacin
to Prevent Post-ERCP Pancreatitis",0.6431342631799991
2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",4,23,"Auriculotherapy in the prevention of postoperative urinary retention in patients with thoracotomy and thoracic epidural analgesia
A randomized, double-blinded trial",0.6394548934624112
2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",5,17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,0.6337532317598056
3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",1,16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",0.6459284056317625
3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",2,18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",0.638095837420142
3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",3,0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,0.5929679853067791
3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",4,5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,0.5913611657281462
3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",5,37,A trial comparing nucleoside monotherapy with combination therapy in HIV-infected adults with CD4 cell counts from 200 to 500 per cubic millimeter. AIDS Clinical Trials Group Study 175 Study Team,0.58437224130843
4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,1,2,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",0.9264889791994356
4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,2,36,"A Randomized Trial of Rectal Indomethacin
to Prevent Post-ERCP Pancreatitis",0.6550358731516018
4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,3,18,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",0.6459748841990192
4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,4,23,"Auriculotherapy in the prevention of postoperative urinary retention in patients with thoracotomy and thoracic epidural analgesia
A randomized, double-blinded trial",0.6425606851474647
4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,5,17,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,0.6406669882757645
5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,1,0,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,0.6689788803847359
5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,2,16,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",0.655413239981689
5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,3,3,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",0.5913611657281462
5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,4,4,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,0.582464909778961
5,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,5,19,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",0.5819349611083376
